"29744";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA LEI  ";" ";"2100.13.02.20";
"29749";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.02.01";
"29750";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA PAE  ";" ";"2100.13.02.20";
"29752";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA SEL  ";" ";"2100.13.02.20";
"29763";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SDI  ";" ";"2100.13.02.01";
"29764";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.02.03";
"29770";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.02.20";
"29781";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.03.28";
"29788";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA PAE  ";" ";"2100.13.03.01";
"29789";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.02.20";
"29793";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.03.28";
"29800";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  SALA (LU  ";" ";"2100.13.02.20";
"31274";"POLTRONA ESTOFADA PARA 1 LUGAR, ESTRUTUR";"A METALICA PES BAIXO, SEM BRACOS  ";" ";"2100.13.03.19";
"35107";"MESA EM MADEIRA/EST. METÁLICA, 6 GAVETAS";"RA METALI- CA, COM 6 GAVETAS  SALA 02  ";" ";"2100.13.03.11";
